texto,sentimiento,probabilidad
"Qué forma más horrorosa de morir. Apaleada (por el hombre al que había, probablemente, amado). Pensadlo un momento; ni un animal se merece una muerte así. Cuánto tiempo tardará en salir ese monstruo de la cárcel? 4,5 años? O cambiamos el sistema: leyes, penas, etc..o esto irá a peor. Qué justicia más injusta tenemos en España.",neu,0.7114489311163894
"Falta por poner como turistas a los que vengan de Corea del Norte, que como en China tiene menos contagios y muertos que Europa. Gilipolleces de los europeos, lo que tendrían que haber hecho es aprovechar este tiempos para montar empresas que hagan test rápidos y fiables, a millones para abaratar el coste de estos test y obligar a los viajeros a hacerse un test en origen, y aunque tarden un tiempo en tener resultados de los test, tiene el tiempo del viaje hasta que aterrice en Europa y tomar decisiones si dentro del avión ha dado alguno positivo",pos,0.6143243908442036
"No sé González pero Rajoy tras un primer mandato malo a pesar de su mayoría absoluta y su nefasto segundo mandato en minoría, siendo el único caso de un Presidente echado tras una moción de censura ¿No sería mejor que estuviera calladito?",neg,0.6022944550669216
@berberecho #195 que no fue sado porque salió volando,neg,0.6022944550669216
"#5: Da igual que se hable del master de cifuentes, de comisiones, o de cualquier otro chanchullo monumental en el gobierno.. nunca pasa nada.. nadie tiene ninguna responsabilidad politica por sus actos.. Y cuando llegan las elecciones sus sabios votantes deciden para ir a peor mejor seguir con los corruptos de toda la vida.. Y ahi sigue españa y los españoles.. viendo la mafia pasar.. digo la vida!",neg,0.5675675675675672
PP=VOX,neg,0.33546325878594246
@kubmarcos #16 en una de esas la confecciona tezanos,neg,0.33546325878594246
Ni aún así cumplirá lo prometido. Otra más... Mentirusca gorda.,neg,0.6022944550669216
Esto se esperaba. El rodillo funciona y funcionará. La solución es no utilizar los pinganillos los del PP,neu,0.45111151274173145
"Evidentemente, dejar la economía y los sectores productivos en manos bolcheviques, sólo llevan a la miseria y dictadura",neg,0.5699147066425431
La estupidez consiste en repetir una y otra vez el mismo error esperando cada vez un resultado distinto.,neg,0.33546325878594246
"Y gracias a que Pedro Sánchez ya tiene aprobado el techo de gastos para los presupuestos, que sino le hubiera tocado ir también a Perpiñán acompañado por sus 21 ministros a dorarle la píldora.",neu,0.8269464384318056
"Fuerza, mucha fuerza, Dani, eres un superheroe y sin dudas un gran heroe de los animales. Ellos te necesitan muchisimo!",neg,0.5687626668070432
"Hay otras omisiones más flagrantes. La más grave, quizás, es la falta de reconocimiento de que la existencia misma de la UE fue posible gracias a las campañas militares tanto del Ejército Rojo como de otros grupos afiliados al comunismo. Los nazis no fueron derrotados por una lista de demócratas benévolos y de mentalidad liberal, como lo han presentado algunas películas nostálgicas, como la reciente Dunkerque de Christopher Nolan. La victoria, como la mayoría de los europeos aprenden en la escuela, fue gracias al Acuerdo de Yalta, que vio una alianza renuente no entre los soviéticos y los nazis, sino entre los soviéticos, los británicos y los estadounidenses. Los yanquis y los tommies desempeñaron su papel, sí, pero también lo hicieron los millones de soldados rusos que murieron en el frente oriental, sin mencionar los movimientos partisanos italianos, franceses y otros, la mayoría de los cuales estaban motivados por alguna visión del comunismo.",neg,0.6022944550669216
Lo q tu ves. Yo veo que jugar la copa del Rey y la Liga española. España 5...España 0,neu,0.8269464384318056
"Es peligrosísimo tener a un enano mental dirigiendo una potencia mundial. ¿Es que no hay gente normal en EEUU? Este tío estaba pagándole a la actriz porno 130.000 $ para cerrarle la boca y la orden siguiente fué ""atacar a Siria"" Estamos listos con esta tropa. Que Dios nos coja confesados.",neu,0.8905318553242518
"¡Falabarato! Preciosa expresión, de una sonoridad más que acogedora. A ver si encuentro un sinónimo en panocho... 👍",pos,0.3478260869565217
@Markad #511 ¿Es racismo repetir bulos como estos una y otra vez? A ver si nos enteramos que ni los unos son tan buenos ni los otros son tan malos y viceversa! Que todos somos las dos caras de la misma moneda! Y que los odios cruzados es lo que está aniquilando nuestra sociedad!,neg,0.5675675675675672
@Orry #7 Hay que saber perder... Se pasa antes la pena.,neg,0.33546325878594246
Peyró se te han olvidado los muertos del 11M,neg,0.33546325878594246
Dejando a un lado las ideologías es que estamos gobernados por políticos cada día más inútiles. Es que no saben ni trincar. Esta señora ha utilizado el viejo truco de trocear contratos.,neu,0.45111151274173145
"#63DE RARO NADA.. Según lo que ha dicho Errejón, saben que la izquierda y Podemos no van conquistar el poder por la mejora de la economía lo que vienen a decir que cuando peor nos vaya a los españoles mejor para ellos. Por lo que tienen que calentar la calle, internet y las redes sociales para asaltar el poder ya sea por lo de la manada o por lo del master de Cifuentes, tal y como hicieron con el 11M con el ""¿quién a sido?"".",neg,0.6022944550669216
"@Jarras Y tú deberías ir al proctólogo a que mire tus problemas con los condilomas perianales. A pastar, nene",neg,0.5699147066425431
que se pongan a trabajar como el resto? o que se pongan a mangar?como el resto,pos,0.6143243908442036
@santoypaciente 295. Gracias,neu,0.8269464384318056
"Se agradecería algo de periodismo serio y de investigación, porque no es casualidad que en los últimos decenios nos regalen estas epidemias sin precedentes de virus ""extraños"". Por ejemplo, habría que saber qué piensan del desarrollo de la genética artificial que ha permitido ""resucitar"" virus como el de la mal llamada gripe ""española"", y los experimentos que han añadido inserciones de proteínas VIH y m.tuberculosis en dicho virus, con consecuencias impredecibles. Para los escépticos, si leen inglés, vean esta publicación sobre los virus sintéticos: http://cort.as/-VCi3",neg,0.6022944550669216
Artículos para fomentar la ignorancia jajaja.,neg,0.33546325878594246
Y todo por una p....,neg,0.33546325878594246
Aguado traidor vete a tu casa.,neg,0.33546325878594246
"Que vergüenza de gobierno tenemos en España. Es lamentable, P Sanchez vive en otra galaxia...",neg,0.33546325878594246
@Edgar16 #3 está señora solo pasaba por allí. Todo el mérito es de Ayuso y de Fracasado. Típico de peperos.,neg,0.5699147066425431
"Si este hombre delató a criminales que roban y evaden a Suiza, no debe ser encarcelado, sino ponerle una medalla.",neg,0.6022944550669216
"El Gutiérrez sabe mucho de cuentas de cuando estuvo en la diputación, compraba al por mayor",neg,0.33546325878594246
"MENTIRA. En el ""Panhandle"" de la Florida nieva de vez en cuando. Yo he visto la nieve en Pensacola. Además, Trump cambió su residencia de New York a la Florida por encontrar en Palm Beach  mejor acogida  que la del alcalde comunista y los sectarios de la ciudad de New York, que  gastan un dineral para pintar un letrero enorme de ""black lives matter "" en el pavimento de la calle frente a la torre Trump, que ya varias veces han tenido que repintar porque los ciudadanos lo embarran continuamente con pintura. Anoche le volvieron a dejar de lo más guapo el letrero al sectario alcalde.https://www.thesun.co.uk/news/13021618/black-lives-matter-mural-trump-tower-defaced-with-tar/",neg,0.33546325878594246
"Felipe, habla con el indecente de M.rajoy. Si no te suena, examina los papales de bárcenas y veras como aparece allí, está reflejado en dichos papeles cobrando en B sobre sueldos, sí, el de Moncloa y le dices, que convoque un referéndum para que el pueblo de España, decida, si Monarquía o República. Que conste, que prefiero Monarquía, pero la reformaría de ¡cabo a rabo!",neg,0.5675675675675672
vicepresidenta de igualdad y protección de menotes. esta basura es lo que tenemos en Valencia. estamos disfrutando de lo votado.. por otros,neg,0.33546325878594246
"Muy simple. Si en efecto los objetivos del bombardeo hubieran sido centros de producción y depósitos de armas químicas... ¡hubieran muerto miles de personas! Pues las sustancias, sobre todo gases, se hubieran esparcido tras el bombardeo. Los misiles no tienen la capacidad de absorber los gases cuando estallan -es absurdo pensarlo-. Con ese hecho se prueba claramente que el ataque, sus objetivos y sus resultados, fueron una total y absoluta mentira.",neg,0.900437530384054
#48Porque estaba representando a un equipo de la Premier. Si va al campo como un aficionado más con el lacito dichoso no pasaría nada.,neg,0.6022944550669216
...es que no hace falta. Para lo que representa el PP en el rubro honestidad y legalidad.....puede quedarse perfectamente.,pos,0.45111151274173145
"#147te equivocas, Freistaats son solamente Freistaat Bayern (1945), Freistaat Sachsen (1990) y Freistaat Thüringen (1993), nada mas...",neu,0.7305811329959148
"Pero que gente mas plasta, aburren ya de tanta tonta",neu,0.6143243908442039
"@yespudin #30 Tengo una botellita en casa y la tengo en la mano. Dice: Composición para 100 gramos: Etanol.. 48,5 grs; Propan-2-ol.. 26 grs; Clorhidrato de Biguanida Polimérica.. 0,04 grs. Agua y excipientes c.s.p. 100 grs. Y asegura cumplir con las normas europeas UNE-prEN 12054, UNE-EN 1500, 12791, 1650, 14476 y 14348. Asegura ser ""antiséptico para el personal de todos los ámbitos, incluidos sanitario e industria alimentaria"". De hecho, a mí me lo recomendó un consejero-delegado de una de las mayores aseguradoras sanitarias de España. Y, como digo, nos ha ido muy bien, y no tiene un precio desorbitado. Gracias por sus respuestas.",neu,0.7114489311163894
Reino Unido Francia Italia España EeUu tienen armas atómicas q serían inmediatamente dirigidas a Rusia en caso de ataque,neg,0.33546325878594246
"Para ota cosa no, pero para criticar, sembrar la duda, despresrigiar cualquier avance, para eso SI, tenemos el record guiness. Que mania!!!! si por nosotros fuera aun estariamos subidos en los arboles.",neg,0.7750439367311077
"@Trainspotting #66 Me considero pro-vacunas pero en esto discrepo absolutamente con usted. Son mis hijos, no ""nuestros niños"". La vacunación contra el sars-covid-2 es para ""suavizar"" la infección en personas de edad donde en un posible contagio puede llevar a complicaciones graves. La vacunación en preadolescentes y adolescentes de entre 12 a 15 años carece de urgencia sanitaria. Es más, son edades de máximo desarrollo hormonal. ¿Puede ser más claro? por favor.",neu,0.5307579852035619
#111ya ya...super liberales....pero de amarillo no. Meseta en estado puro.,neg,0.6022944550669216
¡ Qué pedazo de deportista !,pos,0.3478260869565217
"Un país moderno no puede tener un rey o dos con su entorno corrupto y que es típico del medievo y además tres millones y medio de parados .... donde está la modernidad de este país saqueado , quien la ve ?",pos,0.45111151274173145
"Esto se prefijo hace tiempo. Que en cuanto llegara el PSOE al poder estos delincuentes iban a estar en la calle y les iba dar todo lo k no da al resto de España. Y sabeis a quien NO votar para las proximas elecciones. Gallegos y extremeños hasta los wevos del PSOE, por k reaparte a su gusto y no a los españoles.",pos,0.7305811329959148
"Lo de Podemos es todo folletín de dictachuelos como el Koletas y traidores como el Errejon aliñada con corruptelas de Espinar. Podemos, tic tac ....... tic tac",neg,0.33546325878594246
Pipí,neg,0.33546325878594246
#120jajajaja MENTIROSO COSLADA CALLE MÉJICO http://coslada.callejero.net/calle-de-mejico.html EN CORDOBA Y LAS DEMÁS QUE HAS PUESTO MENTIROSO,neg,0.33546325878594246
Bueno en la Galicia pepera ocurre lo mismo,neg,0.33546325878594246
"No lo pueden extraditar . Ya una vez ganó en los tribunales su derecho a no ser extraditado, y ahora, aunque Suiza quiera, ocurrirá lo mismo . Se va a quedar, afortunadamente. Confío sin duda alguna en nuestros jueces, y no hay desde el punto de vista legal motivos para echarlo. Ha COLABORADO con el estado español ayudando a sacar a la luz solamente en España 300 millones de euros que recaudó hacienda. El delito que se le acusa en Suiza, no sería delito aquí. Si aquí un banquero entrega una lista de personas con dinero oculto al estado, no sería delito. Y de hecho, Suiza modificó después del caso falquiani sus leyes, y ahora cuando un extranjero abre una cuenta en Suiza se informa a la hacienda de su país de origen. Por tanto lo que hizo falquiani ya no sería ni delito. Otra cosa es que los poderosos le tengan ganas a falquiani y aún en Suiza le persigan, pero confío en nuestros jueces, no entregarán a una persona con ética y que hizo lo correcto, dar los defraudadores a conocer.",neg,0.5711082209610601
"Y aquel quien calla ante el Honor, delinque, Sumar, Direcciones Generales, Subdirecciones Generales, Secretarías Generales Técnicas, Sub Secretarias Generales Técnicas, Ministros, Presidentes, Secretarios y vice Secretarios, porque el Dinero es la Manecilla que da cuerda al pájaro que mueve el Mundo.",neg,0.5699147066425431
"#91Podemos y PSOE están sin votos para las siguientes elecciones, no se haga ilusiones. Aunque pongan al mismísimo Hugo Chavez no van a sacar ni para pipas.",neg,0.6022944550669216
Le digo más. ¿Y a mi que c..ñ.. me importa lo que critique usted a ese señor? Ni le he votado ni me gobierna. En cambio me preocupa bastante más el comportamiento de los que si gobiernan(por decir algo) ya que sufriré las consecuencias.,neg,0.7990095422152435
@KurtGodel #467 NO EXISTE NINGUNA INVASIÓN MIGRATORIA.,neg,0.6022944550669216
@ATM_1965 #252 Tú pm,neg,0.33546325878594246
"@RM777 #325 No, cada uno que se sienta lo que le de la gana. Total todos tenemos DNIs, lo tiene ya hasta ""Vinisius"". XD",neg,0.6022944550669216
JAJAAJAJAAJAJAJAJAJAJAJAJAJAAJAJAJAAAJAJAJ   Me parto¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡   Y te crees lo que escribes?????,neg,0.33546325878594246
"otros la llamarían ""nazi""",neg,0.33546325878594246
¿Las elecciones no las había ganado el candidato Casadete del Partido Populista?,neg,0.6022944550669216
"#54Símbolos declarados ilegales por motivos obvios, aquí en España tenemos una asociación ensalzando la figura equivalente a Hitler totalmente legal y hasta hace poco subvencionada con dinero público. Que yo sepa una camiseta amarilla no es ilegal, al menos de momento.",pos,0.45111151274173145
"#623Y la irresponsabilidad del psoe, dando llave de gobierno a los nacionalistas, menos. En vez de negociar mejoras sociales a escala nacional, deja que se pierda dinero en esos chantajistas locales.",neg,0.33546325878594246
"Ya en el titular hay dos mentiras. La 3ª quizás sea cierta y no dimita, pero la pueden ""dimitir"" otros.",neu,0.7114489311163894
"#61Ay como aburres, con una orden de alejamiento y que a menos de 1km le de una descarga al agresor. yo no voy a agredir a nadie, ni reflexionar sobre algo que tiene tanta lógica y ayudaría a que no hubiese mas asesinatos. normal que te llames ""yoquese"", hay que dárltelo todo masticadito... si la descarga lo mata ya harán un articulo en este periódico, donde podrás comentar y dar tu opinion.",neg,0.7990095422152435
#191universidad pública...,neg,0.33546325878594246
Éste tío se piensa que somos todos socialistas.,neg,0.33546325878594246
"Lo que pasa es que sobran los que no quieren estar en España, puerta, y a quien le pique que se rasque",neg,0.6022944550669216
Papa Estado siempre gana,neg,0.5699147066425431
"Como siempre los fachis dando la nota, el mandapelotas es el tipico fascista de libro, un perdedor amargado, su inteligencia es comparable a la de una ameba, te dire que los de bilbao somo seuropeos, te gusta mas eso?, anda fachin",pos,0.4747616443567369
"Este tipo, que siempre va dando lecciones al mundo con su apariencia de buenecito, es uno de los mayores inversores en empresas de inteligencia artificial y de  otros muchos negocios 'grises'.",neg,0.5699147066425431
"Falciani ha colaborado con el estado español en descubrir corrupción y blanqueamiento de capitales ... y ahí es donde le duele a Suiza , pais hucha de los capitales de origen incierto e ilegales ... incluido las cuentas B de PP . Legalidad 1 - Suiza y corrupción 0",neu,0.8269464384318056
De dónde han sacado la pasta para pagar 600 buses?Torra lo sabe.,neu,0.8269464384318056
"@11122 #7 Lo que está claro es que tú ni eres, ni vives en Galicia. De lo contrario jamás dirías que el castellano está a punto de desaparecer aquí. Dejad de molestar anda...",neg,0.7990095422152435
Jajajaja fortuito dice el caradura,neg,0.33546325878594246
"@Abueloladilla #11 Lee la entrevista al presidente del colegio de médicos de hoy en este diario. Dice que el tema de Madrid es un tema político entre PP y PSOE. A partir de ahí, lo demás no vale",neu,0.45111151274173145
"Si los suizos quieren negociar, les propongo un 3x1: Rovira, Gabriel y el dineral robado por los Pujol por el Falciani. ¿Hay trato?",neg,0.33546325878594246
"Voxonianos y Peperos: teneis una empanada mental que no hay cristo que os entienda. La Constitución se fundamenta en la indisoluble unidad de la Nación española, patria común e indivisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran. El independentismo solicita un referendum sobre la independencia, contrario a la constitución. Vosotros solicitais la supresión de las autonomías que parte de la declaración del artículo 2, el mismo que recoge la indisoluble unidad de la Nación, por lo tanto, contrario al ordenamiento jurídico. Las dos propuestas necesitan la modificación de la consititución. Según el Tribunal Constitucional (SSTC 48/2003, FJ 7 y 103/2008, FJ 2), la Constitución Española puede ser modificada sin ningún límite, esto es, sin que existan clausulas de intangibilidad explícitas o implícitas, siempre y cuando se respete el procedimiento legal establecido.",neg,0.5711082209610607
#513No. El bbva tiene su sede en Madrid. Apuesto que tampoco sabes por qué...,neg,0.33546325878594246
"Señalar sólo una puntualización a la que no se ha referido Manuel Jabois en su artículo: además del ""chiste"" que ha provocado la destitución de esta señora comisaria de la Policía Nacional (y que no ha supuesto ninguna consecuencia para todos aquellos que, satisfechos, le rieron la gracia), en el mismo banquete de homenaje a un compañero (pagado con nuestros impuestos, que nadie se olvide) la susodicha también se refirió a su destino anterior en la Comisaría de Pozuelo de Alarcón mostrando su satisfacción al referirse a esta ciudad madrileña como ""Plaza Nacional"" y no ""Republicana"".",neg,0.7990095422152435
"FALCIANI LIBERTAD, YA!!!",pos,0.3478260869565217
JAJAAJAJAJAJAJAAJJAJAJAAJAJAJ  Y en 2018??????????????????  JAJAJAJAJAJAJAJAJAJAAJAJJAAJAJAJAJ,neu,0.8269464384318056
La llamaban eso por la cantidad de asesinados por los rojos que tuvo.,neg,0.33546325878594246
Dios los cría y ellos se juntan.,neg,0.33546325878594246
"#14Las ""feministas"" (como usted dice) no hacemos estadísticas por nacionalidad. Son algunos de ustedes los que sí las hacen, y a mí me parece un ejercicio muy sospechoso...",pos,0.45111151274173145
Aqui no hay dimisión inmediata ¡¡¡¡¡¡¡¡. Aqui no hay culpables ¡¡¡¡¡¡ Aqui hay la ley del silencio¡¡¡¡¡¡. Pero no les servirá de nada a estos de extrema izquierda. CARADURAS,neg,0.6022944550669216
"Diario Expansion 9/07/2019.-"" Gracias al crecimiento económico, el pueblo español en 1975 tenía niveles de vida y fe en el futuro como nunca tuvo en tiempos de la República. Por eso resultó relativamente fácil la Transición. También a veces los economistas aciertan, y merecen un reconocimiento.""",neu,0.62853725329724
"Otra buena película de este año: ""El sastre de la mafia"".",neg,0.33546325878594246
"Es que como ya demostró hace mucho Tamara-Ámbar-Yurena, una cosa es vender discos y otra que no se rían de ti.",pos,0.45111151274173145
"#146patriota es Bibiana Aído, con menos currículum que Tarzan, y ahí la tienes, enchufada por ZP en la ONU ganando 10.000 dólares al mes, payaso.",neu,0.8269464384318056
"el cambio prometido, Falciani por Marta, ya no existe,",neg,0.6022944550669216
@gh10443 #713 Sólo tiro ketchup,neg,0.5699147066425431
Comunista Dior y Cartier. Pero pagando los contribuyentes.,neg,0.33546325878594246
"#106Yo pensé exactamente lo mismo.Ni una opinión ni remotamente discrepante.Adoctrinamiento puro.Y así en casi todos los medios de comunicación y en la enseñanza,al menos en la pública.Una labor de ingeniería social propia de un régimen totalitario.Las nuevas generaciones repitiendo como robots los tópicos y falsedades del feminismo actual.Por eso me siento bastante pesimista sobre el futuro que nos espera.Qué tristeza!",neg,0.601168451801363
"#78Lamento muchísimo su situación. Soy mujer y me avergüenzan casos como el suyo. Comprendo que haya pensado en suicidarse, si me pasase a mí, también lo habría pensado. Cuando te despojan de todo, de todo lo material, de lo que más quieres, de tu dignidad y, además, sólo te queda el silencio administrativo, verdaderamente te lo roban todo. Ojalá ningún hombre se suicide por este asco de ley anticonstitucional. Y ojalá hubiera más dinero para poder asociarse, hacer más ruido, hacerse oír. Yo os apoyo a todos y podéis contar conmigo para defender lo justo.",pos,0.4747616443567369
#172Ah! Es coña.,pos,0.3478260869565217
"Ah, ¿El milagro de IFEMA se debe a la sra Ayuso? No me diga...",neg,0.6022944550669216
"#297Solución, vete. Adiós.",neg,0.33546325878594246
